code,name,stockType,categoryA,categoryB,categoryC
42000,카페24,보통주,IT,소프트웨어,인터넷 서비스
297890,엘이티,보통주,IT,디스플레이,디스플레이 및 관련부품
347890,엠투아이코퍼레이션,보통주,IT,하드웨어,전자 장비 및 기기
332570,와이팜,보통주,IT,하드웨어,휴대폰 및 관련부품
357780,솔브레인,보통주,IT,반도체,반도체 및 관련장비
155650,와이엠씨,보통주,IT,디스플레이,디스플레이 및 관련부품
131970,테스나,보통주,IT,반도체,반도체 및 관련장비
101490,에스앤에스텍,보통주,IT,반도체,반도체 및 관련장비
97520,엠씨넥스,보통주,IT,하드웨어,휴대폰 및 관련부품
93920,서원인텍,보통주,IT,하드웨어,휴대폰 및 관련부품
82920,비츠로셀,보통주,IT,하드웨어,전자 장비 및 기기
76610,해성옵틱스,보통주,IT,하드웨어,휴대폰 및 관련부품
64480,브리지텍,보통주,IT,소프트웨어,IT 서비스
56700,신화인터텍,보통주,IT,디스플레이,디스플레이 및 관련부품
56360,코위버,보통주,IT,하드웨어,통신장비
37330,인지디스플레이,보통주,IT,디스플레이,디스플레이 및 관련부품
23770,플레이위드,보통주,IT,소프트웨어,게임 소프트웨어
200710,에이디테크놀로지,보통주,IT,반도체,반도체 및 관련장비
125210,아모그린텍,보통주,IT,하드웨어,전자 장비 및 기기
110990,디아이티,보통주,IT,디스플레이,디스플레이 및 관련부품
100030,모바일리더,보통주,IT,소프트웨어,IT 서비스
89790,제이티,보통주,IT,반도체,반도체 및 관련장비
65130,탑엔지니어링,보통주,IT,디스플레이,디스플레이 및 관련부품
43260,성호전자,보통주,IT,하드웨어,전자 장비 및 기기
238490,힘스,보통주,IT,디스플레이,디스플레이 및 관련부품
163730,핑거,보통주,IT,소프트웨어,IT 서비스
49550,잉크테크,보통주,IT,하드웨어,컴퓨터 및 주변기기
30520,한글과컴퓨터,보통주,IT,소프트웨어,일반 소프트웨어
219130,타이거일렉,보통주,IT,반도체,반도체 및 관련장비
211270,에이피위성,보통주,IT,하드웨어,통신장비
141000,비아트론,보통주,IT,디스플레이,디스플레이 및 관련부품
140860,파크시스템스,보통주,IT,하드웨어,전자 장비 및 기기
123860,아나패스,보통주,IT,디스플레이,디스플레이 및 관련부품
114120,크루셜텍,보통주,IT,하드웨어,휴대폰 및 관련부품
106520,디지탈옵틱,보통주,IT,하드웨어,휴대폰 및 관련부품
95610,테스,보통주,IT,반도체,반도체 및 관련장비
92600,앤씨앤,보통주,IT,하드웨어,보안장비
87730,이엠네트웍스,보통주,IT,반도체,반도체 및 관련장비
53300,한국정보인증,보통주,IT,소프트웨어,일반 소프트웨어
64260,다날,보통주,IT,소프트웨어,인터넷 서비스
42420,네오위즈홀딩스,보통주,IT,소프트웨어,게임 소프트웨어
303030,지니틱스,보통주,IT,반도체,반도체 및 관련장비
269620,시스웍,보통주,IT,하드웨어,전자 장비 및 기기
251630,브이원텍,보통주,IT,디스플레이,디스플레이 및 관련부품
206400,베노홀딩스,보통주,IT,소프트웨어,게임 소프트웨어
66900,디에이피,보통주,IT,하드웨어,휴대폰 및 관련부품
43590,크로바하이텍,보통주,IT,하드웨어,전자 장비 및 기기
47080,한빛소프트,보통주,IT,소프트웨어,게임 소프트웨어
205100,엑셈,보통주,IT,소프트웨어,IT 서비스
196450,디오스텍,보통주,IT,하드웨어,휴대폰 및 관련부품
94940,푸른기술,보통주,IT,하드웨어,컴퓨터 및 주변기기
46970,우리로,보통주,IT,하드웨어,통신장비
262840,아이퀘스트,보통주,IT,소프트웨어,일반 소프트웨어
62970,피피아이,보통주,IT,하드웨어,통신장비
42510,라온시큐어,보통주,IT,소프트웨어,일반 소프트웨어
39290,인포뱅크,보통주,IT,소프트웨어,IT 서비스
36540,에스에프에이반도체,보통주,IT,반도체,반도체 및 관련장비
317770,슈프리마아이디,보통주,IT,하드웨어,보안장비
259630,엠플러스,보통주,IT,하드웨어,전자 장비 및 기기
214310,세미콘라이트,보통주,IT,디스플레이,디스플레이 및 관련부품
123840,한일진공,보통주,IT,하드웨어,휴대폰 및 관련부품
96690,에이루트,보통주,IT,하드웨어,컴퓨터 및 주변기기
89970,에이피티씨,보통주,IT,반도체,반도체 및 관련장비
53580,웹케시,보통주,IT,소프트웨어,IT 서비스
60720,KH바텍,보통주,IT,하드웨어,휴대폰 및 관련부품
37400,우리조명,보통주,IT,디스플레이,디스플레이 및 관련부품
32580,피델릭스,보통주,IT,반도체,반도체 및 관련장비
30350,드래곤플라이,보통주,IT,소프트웨어,게임 소프트웨어
300080,플리토,보통주,IT,소프트웨어,IT 서비스
171010,램테크놀러지,보통주,IT,반도체,반도체 및 관련장비
95340,아이에스시,보통주,IT,반도체,반도체 및 관련장비
95500,미래나노텍,보통주,IT,디스플레이,디스플레이 및 관련부품
90470,제이스텍,보통주,IT,디스플레이,디스플레이 및 관련부품
45510,정원엔시스,보통주,IT,소프트웨어,IT 서비스
61040,알에프텍,보통주,IT,하드웨어,휴대폰 및 관련부품
35620,바른손이앤에이,보통주,IT,소프트웨어,게임 소프트웨어
31860,엔에스엔,보통주,IT,하드웨어,컴퓨터 및 주변기기
17250,인터엠,보통주,IT,하드웨어,전자 장비 및 기기
272110,케이엔제이보통주,보통주,IT,디스플레이,디스플레이 및 관련부품
179900,유티아이,보통주,IT,하드웨어,휴대폰 및 관련부품
239340,줌인터넷,보통주,IT,소프트웨어,인터넷 서비스
205500,액션스퀘어,보통주,IT,소프트웨어,게임 소프트웨어
96040,이트론,보통주,IT,소프트웨어,IT 서비스
67310,하나마이크론,보통주,IT,반도체,반도체 및 관련장비
40350,큐로컴,보통주,IT,소프트웨어,IT 서비스
38160,팍스넷,보통주,IT,소프트웨어,IT 서비스
32790,엠젠플러스,보통주,IT,하드웨어,사무기기
301300,바이브컴퍼니,보통주,IT,소프트웨어,일반 소프트웨어
178320,서진시스템,보통주,IT,하드웨어,통신장비
119830,아이텍,보통주,IT,반도체,반도체 및 관련장비
84370,유진테크,보통주,IT,반도체,반도체 및 관련장비
33560,블루콤,보통주,IT,하드웨어,휴대폰 및 관련부품
46110,한일네트웍스,보통주,IT,소프트웨어,IT 서비스
50890,쏠리드,보통주,IT,하드웨어,통신장비
241790,오션브릿지,보통주,IT,반도체,반도체 및 관련장비
91340,에스엔케이폴리텍,보통주,IT,하드웨어,전자 장비 및 기기
82210,옵트론텍,보통주,IT,하드웨어,전자 장비 및 기기
53610,프로텍,보통주,IT,반도체,반도체 및 관련장비
288620,에스퓨얼셀,보통주,IT,하드웨어,전자 장비 및 기기
236200,슈프리마,보통주,IT,하드웨어,보안장비
227100,디자인,보통주,IT,하드웨어,휴대폰 및 관련부품
187220,디티앤씨,보통주,IT,하드웨어,통신장비
182690,테라셈,보통주,IT,하드웨어,전자 장비 및 기기
178780,유테크,보통주,IT,디스플레이,디스플레이 및 관련부품
88800,에이스테크놀로지,보통주,IT,하드웨어,통신장비
83470,이엠앤아이,보통주,IT,하드웨어,휴대폰 및 관련부품
78340,컴투스,보통주,IT,소프트웨어,게임 소프트웨어
66110,한프,보통주,IT,하드웨어,컴퓨터 및 주변기기
47310,파워로직스,보통주,IT,하드웨어,전자 장비 및 기기
46890,서울반도체,보통주,IT,디스플레이,디스플레이 및 관련부품
54220,비츠로시스,보통주,IT,소프트웨어,IT 서비스
250060,모비스,보통주,IT,소프트웨어,IT 서비스
