code,name,stockType,categoryA,categoryB,categoryC
011090,에넥스,보통주,경기소비재,내구소비재 및 의류,내구소비재
214330,금호에이치티,보통주,경기소비재,자동차 및 부품,자동차부품
093230,이아이디,보통주,에너지,에너지,석유 및 가스
012280,영화금속,보통주,경기소비재,자동차 및 부품,자동차부품
006220,제주은행,보통주,금융,은행,상업은행
005930,삼성전자,보통주,IT,하드웨어,휴대폰 및 관련부품
014160,대영포장,보통주,소재,소재,용기 및 포장
001440,대한전선,보통주,산업재,자본재,전기장비
004410,서울식품공업,보통주,필수소비재,음식료 및 담배,식료품
013700,까뮤이앤씨,보통주,산업재,자본재,건설
047050,포스코인터내셔널,보통주,산업재,자본재,무역
002630,오리엔트바이오,보통주,의료,제약 및 바이오,바이오
047040,대우건설,보통주,산업재,자본재,건설
000430,대원강업,보통주,경기소비재,자동차 및 부품,자동차부품
042670,두산인프라코어,보통주,산업재,자본재,기계
017550,수산중공업,보통주,산업재,자본재,기계
004060,에스지세계물산,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
005880,대한해운,보통주,산업재,운송,해상운수
000270,기아자동차,보통주,경기소비재,자동차 및 부품,자동차
001360,삼성제약,보통주,의료,제약 및 바이오,제약
002070,비비안,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
068270,셀트리온,보통주,의료,제약 및 바이오,바이오
033180,필룩스,보통주,필수소비재,생활용품,가정생활용품
900140,엘브이엠씨홀딩스,보통주,경기소비재,자동차 및 부품,자동차
011300,성안,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
000660,에스케이하이닉스,보통주,IT,반도체,반도체 및 관련장비
001510,SK증권,보통주,금융,증권,증권
010140,삼성중공업,보통주,산업재,자본재,조선
034220,LG디스플레이,보통주,IT,디스플레이,디스플레이 및 관련부품
005935,삼성전자1우,우선주,IT,하드웨어,휴대폰 및 관련부품
088350,한화생명보험,보통주,금융,보험,보험
007570,일양약품,보통주,의료,제약 및 바이오,제약
011930,신성이엔지,보통주,에너지,에너지,에너지 시설 및 서비스
011200,에이치엠엠,보통주,산업재,운송,해상운수
015760,한국전력공사,보통주,유틸리티,유틸리티,전력
034020,두산중공업,보통주,산업재,자본재,기계
026890,디피씨,보통주,경기소비재,내구소비재 및 의류,내구소비재
004140,동방,보통주,산업재,운송,운송인프라
066570,LG전자,보통주,경기소비재,내구소비재 및 의류,내구소비재
092220,케이이씨,보통주,IT,반도체,반도체 및 관련장비
008700,아남전자,보통주,경기소비재,내구소비재 및 의류,내구소비재
023000,삼원강재,보통주,경기소비재,자동차 및 부품,자동차부품
001470,삼부토건,보통주,산업재,자본재,건설
096770,SK이노베이션,보통주,에너지,에너지,석유 및 가스
023960,에쓰씨엔지니어링,보통주,산업재,자본재,건설
004560,현대비앤지스틸,보통주,소재,소재,금속 및 광물
006800,미래에셋대우,보통주,금융,증권,증권
037270,와이지플러스,보통주,경기소비재,미디어,미디어
086790,하나금융지주,보통주,금융,은행,상업은행
102280,쌍방울,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
008970,동양철관,보통주,소재,소재,금속 및 광물
024110,중소기업은행,보통주,금융,은행,상업은행
019170,신풍제약,보통주,의료,제약 및 바이오,제약
