code,name,stockType,closePrice,reate,tradeAmount,market_value,PER,결산월,listingDate,categoryA,categoryB,categoryC,faceValue,issuedStocks,price,high,low,transactionPrice,TotalAssets,sales,operationProfit,salesGrowthRate,DPS,ROA,ROE
088350,한화생명보험,보통주,1700,6.76,52760323,14765,19.98,12,20100317,금융,보험,보험,5000,868530000,1580,1595,1555,6691,1418501,155881,49400,4.44,30,.04,.87
014710,사조씨푸드,보통주,6600,-4.85,46366283,1136,-16.14,12,20120629,필수소비재,음식료 및 담배,식료품,1000,17218543,5190,6920,5080,105749,3481,3489,9725,-12.15,,-1.55,-2.66
000400,롯데손해보험,보통주,1875,12.8,45654046,5819,-6.89,12,19710416,금융,보험,보험,1000,310336320,1610,1645,1605,578,162673,24291,-70940,2.77,,-.34,-6.69
001470,삼부토건,보통주,3115,10.91,34391964,4285,12.37,12,19760626,산업재,자본재,건설,1000,137546368,2950,3195,2700,60864,4207,2263,4957,27.54,,1.78,3.66
005690,파미셀,보통주,18700,13.9,27359605,11212,117.1,12,19880520,의료,제약 및 바이오,바이오,500,59958950,16300,16350,15900,9693,633,325,1964,14.57,,7.1,8.78
025750,한솔홈데코,보통주,1820,.55,27176868,1466,-19.36,12,20031104,소재,소재,종이 및 목재,1000,80565149,1920,1995,1800,30468,2957,2639,-1666,-11.11,,-1.51,-2.89
011150,CJ씨푸드,보통주,5100,-19.22,24889631,1832,53.27,12,19881126,필수소비재,음식료 및 담배,식료품,500,35930773,5190,6430,5100,361411,1273,1492,3700,-1.02,,1.44,2.9
001780,알루코,보통주,4250,5.88,23561905,3536,-28.15,12,20070607,소재,소재,금속 및 광물,500,83207283,4110,4260,3985,17500,7726,4544,12238,-10.34,,-.9,-3.55
092220,케이이씨,보통주,1905,-8.92,20231611,2223,-6.29,12,20061016,IT,반도체,반도체 및 관련장비,500,116706940,2130,2430,2035,135433,3342,2017,-6954,-7.2,,-5.76,-8.99
008420,문배철강,보통주,2700,-3.7,18543628,554,22.13,12,19941105,소재,소재,금속 및 광물,500,20503505,2740,2800,2700,3745,1953,1626,2601,1.97,50,1.37,2.14
